posting_date,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,state,lat,long,odometer_tier,description,tx_avg
2021-04-20T13:07:10-0400,7309887432,daytona beach,25999.0,2017,ford,f-150,excellent,,gas,38374.0,clean,automatic,1FTEX1C88HKE14457,rwd,full-size,truck,fl,28.466088,-81.396429,mid_mi,2017 ford f-150 mid_mi,35990.0
2021-04-28T09:38:32-0400,7313779135,tampa bay area,35900.0,2017,ford,f-150,good,8 cylinders,gas,44200.0,clean,automatic,1FTEW1CF6HFA94372,rwd,full-size,truck,fl,27.98612,-82.27038,mid_mi,2017 ford f-150 mid_mi,35990.0
2021-04-04T18:01:30-0500,7301843551,birmingham,40000.0,2017,ford,f-150,like new,6 cylinders,gas,44000.0,clean,automatic,1FTEW1CG4HFB04535,rwd,full-size,truck,al,33.5815,-85.8328,mid_mi,2017 ford f-150 mid_mi,35990.0
2021-04-07T12:29:32-0400,7303169511,sandusky,32997.0,2017,ford,f-150,excellent,6 cylinders,gas,41908.0,clean,automatic,1FTEW1EG2HFC38893,4wd,full-size,truck,oh,41.27226,-82.825551,mid_mi,2017 ford f-150 mid_mi,35990.0
2021-04-28T09:36:53-0400,7313778360,tampa bay area,35900.0,2017,ford,f-150,good,6 cylinders,gas,43104.0,clean,automatic,1FTEW1CP2HFA51317,rwd,full-size,truck,fl,27.98612,-82.27038,mid_mi,2017 ford f-150 mid_mi,35990.0
2021-04-09T16:01:45-0500,7304379306,appleton-oshkosh-FDL,33078.0,2017,ford,f-150,excellent,,gas,38186.0,clean,automatic,1FTEW1EF4HFC39597,4wd,,pickup,wi,43.790599,-88.446483,mid_mi,2017 ford f-150 mid_mi,35990.0
2021-05-01T09:04:39-0500,7315267551,dubuque,29995.0,2017,ford,f-150,excellent,8 cylinders,gas,44426.0,clean,automatic,1FTFX1EF7HKC40168,4wd,full-size,pickup,ia,42.302496,-91.019112,mid_mi,2017 ford f-150 mid_mi,35990.0
2021-04-21T09:43:17-0700,7310391659,bend,32995.0,2017,ram,1500,excellent,8 cylinders,gas,63888.0,clean,automatic,1C6RR7FTXHS623673,4wd,,truck,or,45.379929,-122.583757,high_mi,2017 ram 1500 high_mi,33995.0
2021-04-19T16:37:46-0400,7309471415,rochester,26630.0,2017,ram,1500,excellent,8 cylinders,gas,71200.0,clean,automatic,1C6RR7FT6HS523070,4wd,full-size,truck,ny,43.002421,-77.667238,high_mi,2017 ram 1500 high_mi,33995.0
2021-04-20T11:17:59-0700,7309935972,reno / tahoe,35500.0,2017,toyota,tundra,like new,8 cylinders,gas,74400.0,clean,automatic,5TFUW5F10HX621609,4wd,full-size,truck,ca,39.50057,-119.797325,high_mi,2017 toyota tundra high_mi,37995.0
